path,size_bytes,extension,sha256,encoding,lines
asset/model/Mutant Idle.fbx,2626064,.fbx,9ab9e7543c9170609f22292bf1ef8e7a27b58555d2c84c47fb186c7ba1677b75,binary/unknown,
asset/model/Mutant Jumping.fbx,866352,.fbx,a47429570b2b496225fca695f163ca1d372a156ed9df088f0acb453db53e34e8,binary/unknown,
asset/model/Mutant Roaring.fbx,1148208,.fbx,85e4765ddae47a9f67b7ddd9834606dad222cd0467158d8f2c2cdbb2e7f4e0b0,binary/unknown,
asset/model/Mutant Run (1).fbx,467920,.fbx,6b0ef143995054249c46fb7b52a5c219e409fb6a1632ceb3b0e6b7dfdf9f5707,binary/unknown,
asset/model/Mutant Run.fbx,261792,.fbx,b08db46eff2542e96a2f7460c023c8c2bac4d26a4f1e7ac85264799f594f4361,binary/unknown,
asset/model/Mutant Swiping (1).fbx,720784,.fbx,ea308f14476939d174be6404d267cff13926216a67a25e3b3e2fbee8ce1d5a99,binary/unknown,
asset/model/One Hand Sword Combo (1).fbx,456240,.fbx,4da60557a7788a7e82611b58bf18162e5b6d37ef09dc7e81a538257df9c8981f,binary/unknown,
asset/model/One Hand Sword Combo (2).fbx,653456,.fbx,d6f1cb3565ff828045263cd72ac181a42541d7f6d9695697bdeb152a21a2c658,binary/unknown,
asset/model/One Hand Sword Combo (3).fbx,563968,.fbx,4d75bd54ed2d5e26ef7c0931cd1a400bbfac6ef8e0b829a6d2ba08bf8bf7be74,binary/unknown,
asset/model/Peasant Girl.fbx,4962800,.fbx,966bf9442dbc4fb9b39ddd0bc292e259b8a9fccfef7436feb24abcbeaa720d28,binary/unknown,
asset/model/pink.jpg,17525,.jpg,6a363dea01bc3b89413fc3eaf9c0af2085eaee146f25d766a01bc2ecdb8d906e,binary/unknown,
asset/model/playerspecialattack01.mtl,696,.mtl,0f678222e69a41e577aaed6600c532e9f01794c3d415f16cccc0b5ff6e19bb3f,binary/unknown,
asset/model/playerspecialattack02.mtl,911,.mtl,596cb5dded1f743eefa87890901e5ded41f9d8b61239acdd501d7802bd1ad331,binary/unknown,
asset/model/playerspecialattack03.mtl,1126,.mtl,35e6037947430765541ee7a68f9dd091f57bc9e4565ff90450a98b2353e09cc3,binary/unknown,
asset/model/point.mtl,253,.mtl,f3b2302e54503b14b96892ae4ac168a8ccca93e53062d02c382438436cc36d96,binary/unknown,
asset/model/point.png,1287,.png,477c97f2b62088fcfa40f6e66e734b70f697e66a94cf86ce966f306a654eb875,binary/unknown,
asset/model/questBoard.mtl,262,.mtl,30464c21e6873fc16285f83450544c1993def3b924cfd8dc048a40495f283d04,binary/unknown,
asset/model/QuestBoard_01.png,48320,.png,81e003301282c6cf7039853321190a87914844f691cdf16fc747f9da6671d9ba,binary/unknown,
asset/model/questgate.mtl,264,.mtl,ef0f569187675f4e534ae1b66618f13459b3ac1e0877b006f4369216697fb2c6,binary/unknown,
asset/model/questgate02.mtl,266,.mtl,a6c850aab193e4b38a68365e37dd408a21cf4e994f438bc73b45cb0fb78f0b30,binary/unknown,
asset/model/qwaponBoard.mtl,250,.mtl,602495594fd9449a1feddb4eb08e917bc0c923c66033820ca8193f7477578beb,binary/unknown,
asset/model/receptionPoint.mtl,255,.mtl,eee71765c2c56e0f10e3098980bb8474b9db9006c8845dceff16ef0cfc071504,binary/unknown,
asset/model/red.jpg,15030,.jpg,8799b1481ced78a1f64018122a4aafa9b130870994b202c0a27cb98d48b3c024,binary/unknown,
asset/model/Running (1).fbx,403632,.fbx,62d7d6349c21087199f329bfcd3543a072c26a3136f2a0b7d4b1ed69c3a802f2,binary/unknown,
asset/model/Sheath A Great Sword 1 (1).fbx,663072,.fbx,49c82152872b5629d56ba6813be1241cbf6cfbf8ae7c1bfca04a99304c3c2b13,binary/unknown,
asset/model/Sign_01.png,6878,.png,788613a58aa7e339c730dc918f52ca8e67fd5bb2aa75d04497453e2195d4bb5e,binary/unknown,
asset/model/Sign_03.png,6497,.png,5a2463b99a60c21e47ad0c21107fab73ffb947bbb7c0d736064b0b9f2973b5fc,binary/unknown,
asset/model/Skeletonzombie T Avelange.fbx,17508416,.fbx,072f7f414f5c84a5f053acc232940ea1d9391540f5ab25058f4bfd89ece74f97,binary/unknown,
asset/model/skydoom002.jpg,4466929,.jpg,57b34c8ebdfd3d3dd6f6014ea76a2bf33e3df3c6f177d6a84987766de0587474,binary/unknown,
asset/model/skydoom002.mtl,260,.mtl,e5d1b51149d6d6b99bc8cb7e5b2e2d33e8d6c91ec3c8a51712d8a390277efe23,binary/unknown,
asset/model/sowrd0001.mtl,260,.mtl,d45375162545f05ccc3b1e0f1aea99a7e819f5dfe7edd83f1139f7b76259f46b,binary/unknown,
asset/model/sowrd0002.mtl,265,.mtl,0b4dfc6db68b7304c3070fb054c8f691b7ffc0d65ada32a1c9a9e8a60cf8e65e,binary/unknown,
asset/model/sowrd0002textuer.jpg,976627,.jpg,43741e77b8347351214b84e43655f15abdd9759fadd285ffe5fd5242a22e69ff,binary/unknown,
asset/model/sowrd001.mtl,269,.mtl,28b9f784df1089b24443f21c9a312a77c22b6e6bb83feab1a4fa6288e97386b9,binary/unknown,
asset/model/special_attack.mtl,255,.mtl,a6ecf5d423e09e9b397c11ec5782cf51a20ea59c1ca67f2263260f9b427a9530,binary/unknown,
asset/model/Stand To Roll.fbx,720896,.fbx,eefe732d5102232a39e90e12bec937790b1215c3f00f738b82968e867e499bbe,binary/unknown,
asset/model/Standing 1H Magic Attack 02 (1).fbx,581456,.fbx,a606e7f19f070ad95450fe3ae12279ea7581a8389d87d99f8871787e3a8d8f8d,binary/unknown,
asset/model/Standing 2H Magic Area Attack 02.fbx,847008,.fbx,42652aedf19fc2fc4e115c7ff0c3e4689f726d2e0a5cfe1e8e8150053cba8f7c,binary/unknown,
asset/model/Statue_01.png,4588,.png,bd21c1455b542982cf6085f670f81ec17e676f48efa14d339d8838b35168ad99,binary/unknown,
asset/model/Sword And Shield Slash (2).fbx,533024,.fbx,781c4dd6b2d21b71f9a03dba2ad9cd9d6f3a2d52f32d8a33f25a94ea44543ff7,binary/unknown,
asset/model/sword003.mtl,269,.mtl,f9eb75984713513d2249a54b2b3a2b6c7850bf672d4562868a76adb5ff4b62aa,binary/unknown,
asset/model/Sword01_Sword01_BaseColor.jpg,138176,.jpg,e3a69e0380a0d9194a8e9018b9909516fd1a766fc2c163bab62d2dad280a2960,binary/unknown,
asset/model/Sword01_Sword01_Metallic.jpg,19094,.jpg,2d1d0a3d6b87ba463e50179fe727503684cb4e652411fcd5e58c4d16b8f42b17,binary/unknown,
asset/model/Sword05_Sword05_BaseColor.jpg,112541,.jpg,dcd9da4032aa7b13ac3dcf3b0306bd6f39841ec230eca9427be2df8b3dabd46d,binary/unknown,
asset/model/Sword_02.png,11389,.png,66b3816e10fd2150535398241ffb43dac5c0278c11169df1cda6a8e76ca527ec,binary/unknown,
asset/model/sword_03_var2.0.mtl,265,.mtl,038221141f1110fa31067780e691e2d5b85d67518c8452a89bf01946a6728f72,binary/unknown,
asset/model/Sword_And_Shield_Slash.fbx,505696,.fbx,5491a8d72dcc4122c8fb74486febb6cc48c75d1a3788ea308e0d750bd19cef84,binary/unknown,
asset/model/sword_tex.jpg,89265,.jpg,64a362d733bb1cb734009d9a0122f2a4053ceeb8a75ddf6d229ac34f77d513d4,binary/unknown,
asset/model/T_Sword3_Diffuse.png,3446196,.png,a5da309fb9f3ffd4927da2403d88b492e9dc451aa885f1aa875c7dc8ec28e00a,binary/unknown,
asset/model/Terrified.fbx,1069568,.fbx,928dccf65a9062d45a53b3fa2f34eac0fd08e363d048641fbb52b6763e2efd84,binary/unknown,
asset/model/torus.mtl,259,.mtl,bfb963914e49fb2a9434e7341ade4f26e3c6f7e2896770391a4c5f4fb38bf99a,binary/unknown,
asset/model/tree04.mtl,949,.mtl,629406a9b5a6d2d4ec9585ea2ab184134f6a5d79027d75d1fbb4f15a1e4df097,binary/unknown,
asset/model/Two Handed Sword Death (1).fbx,929568,.fbx,d79796d872d5b20f839358c468d32ee00cca83faeb8b1e7b2a8e32a2ab3b4dc5,binary/unknown,
asset/model/Two Handed Sword Death (4).fbx,393504,.fbx,aaa6c89144dee119df52dc6a387a86218fc95e608781565f2e5e15da6ff9d36b,binary/unknown,
asset/model/Two Handed Sword Death.fbx,677696,.fbx,177b5c361d513945e0e26770e12b71e7fb2acbeb390f41ec629ab6bb6a439dc4,binary/unknown,
asset/model/Unarmed Idle 01.fbx,2069136,.fbx,bed98fe1a71411942932f4e4c00843d74ce28d7c762fa5bba4c47ff015bce48e,binary/unknown,
asset/model/Uriel A Plotexia.fbx,13619504,.fbx,15582b7598726d2055d5e9dafc7d6021470a2349cf2b0e3e2de98d284480bfba,binary/unknown,
asset/model/VillageGate_01.png,4639,.png,809a7e5eb445d79f29a1d61dd1610d98e1731e8f447ebdf41b483eff05e35bb9,binary/unknown,
asset/model/Warrok W Kurniawan.fbx,12072960,.fbx,30cee85d1e2ea5e2f81b35bf1ef859275326993373beab0bdefd5cc58b404a84,binary/unknown,
asset/model/weaponstore01.mtl,867,.mtl,8ecd9566c180a9654760f289be72642a364490d64d182a3ce9f2a0983ec34095,binary/unknown,
asset/model/Well_01.png,4707,.png,7d5c4312fe9f28f6715b7c33982a9430ec61bc03c7fb19d34688d6b21e1bf9a8,binary/unknown,
asset/model/white.jpg,3939,.jpg,02307d721cd980018ac9087db0c41e68fb8bb0a9d3e21f36eeeeb78a520ca942,binary/unknown,
asset/model/windmill.mtl,773,.mtl,58555bd3d867776d98c7464ea42052b9a6c296cb5c2ee8304270ac4da0d65125,binary/unknown,
